date,timestamp,interest_score,partial_data
"Mar 12, 2026",1773273600,8,false
"Mar 13, 2026",1773360000,7,false
"Mar 14, 2026",1773446400,9,false
"Mar 15, 2026",1773532800,11,false
"Mar 16, 2026",1773619200,10,false
"Mar 17, 2026",1773705600,12,false
"Mar 18, 2026",1773792000,15,false
"Mar 19, 2026",1773878400,14,false
"Mar 20, 2026",1773964800,18,false
"Mar 21, 2026",1774051200,17,false
"Mar 22, 2026",1774137600,19,false
"Mar 23, 2026",1774224000,22,false
"Mar 24, 2026",1774310400,24,false
"Mar 25, 2026",1774396800,29,false
"Mar 26, 2026",1774483200,27,false
"Mar 27, 2026",1774569600,26,false
"Mar 28, 2026",1774656000,28,false
"Mar 29, 2026",1774742400,30,false
"Mar 30, 2026",1774828800,32,false
"Mar 31, 2026",1774915200,34,false
"Apr 1, 2026",1775001600,33,false
"Apr 2, 2026",1775088000,36,false
"Apr 3, 2026",1775174400,39,false
"Apr 4, 2026",1775260800,31,false
"Apr 5, 2026",1775347200,35,false
"Apr 6, 2026",1775433600,44,false
"Apr 7, 2026",1775520000,51,false
"Apr 8, 2026",1775606400,63,false
"Apr 9, 2026",1775692800,79,false
"Apr 10, 2026",1775779200,88,true
